% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.69    0.389171          42      9216           write
 39.28    0.256145          27      9271           read
  0.75    0.004889          44       111           openat
  0.15    0.001010           9       110           close
  0.06    0.000403         201         2           unlink
  0.03    0.000190          31         6           brk
  0.01    0.000096          12         8           mmap
  0.01    0.000034          11         3           mprotect
  0.00    0.000030          30         1         1 access
  0.00    0.000016          16         1           munmap
  0.00    0.000008           4         2           fstat
  0.00    0.000008           4         2           pread64
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000003           1         2           lseek
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           prlimit64
  0.00    0.000003           3         1           rseq
  0.00    0.000002           2         1           getrandom
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.652022          34     18742         1 total
