% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.49    5.743406         623      9216 write
 48.66    5.534769         597      9270 read
  0.36    0.041066         376       109 open
  0.24    0.027710         256       108 close
  0.21    0.024394         225       108 posix_memalign
  0.01    0.001424         712         2 remove
  0.01    0.000915         457         2 lseek
  0.01    0.000872         872         1 __isoc23_strtol
  0.01    0.000723         361         2 __snprintf_chk
------ ----------- ----------- --------- --------------------
100.00   11.375279                 18818 total
