% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.87    0.495768      495768         1           futex
  0.07    0.000369         369         1           execve
  0.02    0.000093           8        11           mmap
  0.01    0.000066          33         2           munmap
  0.01    0.000027           5         5           mprotect
  0.00    0.000019           9         2           openat
  0.00    0.000011           5         2           pread64
  0.00    0.000008           4         2           close
  0.00    0.000008           4         2           fstat
  0.00    0.000007           2         3           brk
  0.00    0.000007           7         1         1 access
  0.00    0.000005           5         1           read
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
  0.00    0.000003           3         1           prlimit64
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         5           rt_sigprocmask
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         2           clone3
------ ----------- ----------- --------- --------- ----------------
100.00    0.496407       10561        47         1 total
