% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.75    0.460415      460415         1           futex
  0.14    0.000665         332         2           clone3
  0.05    0.000231          21        11           mmap
  0.02    0.000077          15         5           mprotect
  0.01    0.000040          20         2           munmap
  0.01    0.000034           6         5           rt_sigprocmask
  0.00    0.000016           5         3           brk
  0.00    0.000013           6         2           openat
  0.00    0.000012           6         2           close
  0.00    0.000012           6         2           pread64
  0.00    0.000010          10         1           read
  0.00    0.000009           9         1           getrandom
  0.00    0.000007           3         2           fstat
  0.00    0.000007           7         1           arch_prctl
  0.00    0.000007           7         1           prlimit64
  0.00    0.000006           6         1           rt_sigaction
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000005           5         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.461576        9820        47         1 total
