% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.88    0.531402      531402         1           futex
  0.03    0.000161          14        11           mmap
  0.02    0.000119          59         2           clone3
  0.02    0.000090          18         5           mprotect
  0.01    0.000048          24         2           munmap
  0.01    0.000040          20         2           openat
  0.01    0.000031           6         5           rt_sigprocmask
  0.01    0.000030          30         1         1 access
  0.00    0.000018           6         3           brk
  0.00    0.000014           7         2           fstat
  0.00    0.000011           5         2           close
  0.00    0.000011           5         2           pread64
  0.00    0.000008           8         1           read
  0.00    0.000007           7         1           getrandom
  0.00    0.000006           6         1           rt_sigaction
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000005           5         1           prlimit64
  0.00    0.000005           5         1           rseq
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.532021       11319        47         1 total
