% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.75    0.530055      530055         1           futex
  0.16    0.000876         438         2           clone3
  0.04    0.000188          94         2           munmap
  0.02    0.000103           9        11           mmap
  0.01    0.000045           9         5           mprotect
  0.00    0.000013           4         3           brk
  0.00    0.000013           2         5           rt_sigprocmask
  0.00    0.000010           5         2           openat
  0.00    0.000009           4         2           pread64
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000006           6         1           getrandom
  0.00    0.000005           5         1           read
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000004           2         2           close
  0.00    0.000004           2         2           fstat
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           prlimit64
  0.00    0.000004           4         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.531358       11305        47         1 total
