% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.66    0.000256         128         2           munmap
 19.91    0.000084           9         9           mmap
  6.87    0.000029           9         3           mprotect
  2.61    0.000011           3         3           brk
  1.90    0.000008           4         2           pread64
  1.18    0.000005           5         1           read
  0.95    0.000004           2         2           fstat
  0.95    0.000004           4         1           arch_prctl
  0.95    0.000004           4         1           set_tid_address
  0.95    0.000004           4         1           prlimit64
  0.95    0.000004           4         1           getrandom
  0.71    0.000003           1         2           close
  0.71    0.000003           3         1           set_robust_list
  0.71    0.000003           3         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           openat
------ ----------- ----------- --------- --------- ----------------
100.00    0.000422          12        34         1 total
