% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.27    0.366033          39      9216           write
 38.39    0.233172          25      9271           read
  1.00    0.006098          54       111           openat
  0.16    0.000990           9       110           close
  0.06    0.000392         392         1           execve
  0.05    0.000316         158         2           unlink
  0.05    0.000291          48         6           brk
  0.01    0.000039           4         8           mmap
  0.00    0.000010           5         2           lseek
  0.00    0.000007           7         1         1 access
  0.00    0.000005           2         2           fstat
  0.00    0.000004           4         1           getrandom
  0.00    0.000000           0         3           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.607357          32     18742         1 total
