% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 51.49    6.254780         674      9270 read
 47.65    5.787488         627      9216 write
  0.34    0.041199         377       109 open
  0.26    0.031593         292       108 close
  0.23    0.027528         254       108 posix_memalign
  0.02    0.002122        1061         2 snprintf
  0.01    0.000723         723         1 atoi
  0.01    0.000650         325         2 remove
  0.00    0.000590         295         2 lseek
------ ----------- ----------- --------- --------------------
100.00   12.146673                 18818 total
