% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.80    0.539185      539185         1           futex
  0.09    0.000474         474         1           execve
  0.03    0.000167          83         2           clone3
  0.03    0.000152          13        11           mmap
  0.01    0.000079          15         5           mprotect
  0.01    0.000036          18         2           munmap
  0.01    0.000029           5         5           rt_sigprocmask
  0.00    0.000023          11         2           openat
  0.00    0.000017           5         3           brk
  0.00    0.000011           5         2           fstat
  0.00    0.000009           4         2           pread64
  0.00    0.000009           9         1         1 access
  0.00    0.000008           4         2           close
  0.00    0.000006           6         1           read
  0.00    0.000006           6         1           getrandom
  0.00    0.000005           5         1           rt_sigaction
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000005           5         1           prlimit64
  0.00    0.000005           5         1           rseq
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.540239       11494        47         1 total
