% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.61    0.474487      474487         1           futex
  0.15    0.000709         709         1           execve
  0.07    0.000325          29        11           mmap
  0.05    0.000231         115         2           clone3
  0.02    0.000110          22         5           mprotect
  0.02    0.000093          18         5           rt_sigprocmask
  0.01    0.000067          33         2           openat
  0.01    0.000053          26         2           munmap
  0.01    0.000044          14         3           brk
  0.01    0.000039          19         2           pread64
  0.01    0.000034          34         1         1 access
  0.01    0.000027          13         2           close
  0.00    0.000021          10         2           fstat
  0.00    0.000018          18         1           arch_prctl
  0.00    0.000013          13         1           prlimit64
  0.00    0.000012          12         1           rt_sigaction
  0.00    0.000011          11         1           read
  0.00    0.000010          10         1           getrandom
  0.00    0.000010          10         1           rseq
  0.00    0.000008           8         1           set_tid_address
  0.00    0.000008           8         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.476330       10134        47         1 total
