% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.76    0.355604          38      9216           write
 37.67    0.220488          23      9271           read
  1.15    0.006705          60       111           openat
  0.17    0.000997           9       110           close
  0.09    0.000544         544         1           execve
  0.06    0.000373         186         2           unlink
  0.04    0.000246          41         6           brk
  0.03    0.000161          20         8           mmap
  0.01    0.000060          20         3           mprotect
  0.00    0.000023          23         1           munmap
  0.00    0.000011           5         2           pread64
  0.00    0.000010           5         2           fstat
  0.00    0.000010          10         1         1 access
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000005           5         1           prlimit64
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.585254          31     18742         1 total
