% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.88    5.614266         609      9216 write
 48.25    5.323244         574      9270 read
  0.34    0.037225         341       109 open
  0.29    0.031481         291       108 close
  0.23    0.025801         238       108 posix_memalign
  0.01    0.000797         398         2 remove
  0.00    0.000355         177         2 lseek
  0.00    0.000320         160         2 snprintf
  0.00    0.000192         192         1 atoi
------ ----------- ----------- --------- --------------------
100.00   11.033681                 18818 total
