% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.60    0.353378          38      9216           write
 36.88    0.211582          22      9271           read
  1.15    0.006573          59       111           openat
  0.19    0.001085           9       110           close
  0.07    0.000412         412         1           execve
  0.05    0.000259         129         2           unlink
  0.02    0.000123          15         8           mmap
  0.02    0.000109          18         6           brk
  0.01    0.000050          16         3           mprotect
  0.00    0.000018          18         1           munmap
  0.00    0.000011           5         2           pread64
  0.00    0.000010           5         2           fstat
  0.00    0.000010           5         2           lseek
  0.00    0.000009           9         1         1 access
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000005           5         1           prlimit64
  0.00    0.000005           5         1           getrandom
  0.00    0.000005           5         1           rseq
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.573657          30     18742         1 total
