% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 51.50    5.428127        1766      3072 read
 47.76    5.033367        1648      3053 write
  0.35    0.036667         991        37 open
  0.23    0.023878         723        33 close
  0.14    0.015122         420        36 posix_memalign
  0.01    0.001270         635         2 lseek
  0.01    0.000678         339         2 snprintf
  0.00    0.000458         458         1 atoi
------ ----------- ----------- --------- --------------------
100.00   10.539567                  6236 total
