% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.07    0.356252          38      9216           write
 38.45    0.228001          24      9271           read
  1.12    0.006634          59       111           openat
  0.17    0.001006           9       110           close
  0.10    0.000594         594         1           execve
  0.03    0.000200         100         2           unlink
  0.02    0.000121          20         6           brk
  0.02    0.000112          14         8           mmap
  0.01    0.000041          13         3           mprotect
  0.00    0.000015           7         2           pread64
  0.00    0.000014          14         1           munmap
  0.00    0.000010           5         2           fstat
  0.00    0.000007           7         1           prlimit64
  0.00    0.000006           6         1         1 access
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.593031          31     18742         1 total
