% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.69    5.950299        1979      3006 read
 48.55    5.699817        1908      2987 write
  0.29    0.034228         925        37 open
  0.28    0.032879         996        33 close
  0.18    0.021204         589        36 posix_memalign
  0.00    0.000296         148         2 lseek
  0.00    0.000248         124         2 snprintf
  0.00    0.000183         183         1 atoi
------ ----------- ----------- --------- --------------------
100.00   11.739154                  6104 total
