% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.85    5.866282         636      9216 write
 48.22    5.562937         600      9270 read
  0.35    0.040915         375       109 open
  0.32    0.036878         341       108 close
  0.25    0.028343         262       108 posix_memalign
  0.01    0.001132         566         2 remove
  0.00    0.000495         247         2 lseek
  0.00    0.000300         300         1 atoi
  0.00    0.000197          98         2 snprintf
------ ----------- ----------- --------- --------------------
100.00   11.537479                 18818 total
