% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.83    0.352477          38      9216           write
 37.87    0.219434          23      9271           read
  1.07    0.006189          55       111           openat
  0.16    0.000956           8       110           close
  0.04    0.000240         120         2           unlink
  0.01    0.000065          10         6           brk
  0.01    0.000052          17         3           mprotect
  0.00    0.000028           3         8           mmap
  0.00    0.000017          17         1           munmap
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           prlimit64
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
  0.00    0.000003           1         2           lseek
  0.00    0.000002           2         1           getrandom
  0.00    0.000000           0         2           fstat
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.579485          30     18742         1 total
