% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 52.98    6.196074         672      9216 write
 46.18    5.400800         582      9270 read
  0.33    0.038039         348       109 open
  0.26    0.030769         284       108 close
  0.22    0.025564         236       108 posix_memalign
  0.01    0.001611        1611         1 __isoc23_strtol
  0.01    0.000857         428         2 lseek
  0.01    0.000843         421         2 remove
  0.01    0.000832         416         2 __snprintf_chk
------ ----------- ----------- --------- --------------------
100.00   11.695389                 18818 total
