% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 49.77    5.216596        1942      2686 write
 49.38    5.175962        1915      2702 read
  0.35    0.037183        1093        34 open
  0.22    0.023254         775        30 close
  0.21    0.022129         670        33 posix_memalign
  0.03    0.002636        1318         2 snprintf
  0.02    0.002139        1069         2 lseek
  0.02    0.001699        1699         1 atoi
------ ----------- ----------- --------- --------------------
100.00   10.481598                  5490 total
