% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 53.06    5.572603        2078      2681 write
 46.10    4.841675        1794      2698 read
  0.39    0.040767        1199        34 open
  0.22    0.023231         703        33 posix_memalign
  0.20    0.020680         689        30 close
  0.02    0.001874        1874         1 atoi
  0.02    0.001814         907         2 snprintf
  0.01    0.000779         389         2 lseek
------ ----------- ----------- --------- --------------------
100.00   10.503423                  5481 total
