% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.76    0.353897          38      9216           write
 37.50    0.218419          23      9271           read
  1.28    0.007472          67       111           openat
  0.25    0.001447          13       110           close
  0.09    0.000531         531         1           execve
  0.03    0.000173          86         2           unlink
  0.03    0.000171          28         6           brk
  0.02    0.000135          16         8           mmap
  0.01    0.000077          25         3           mprotect
  0.00    0.000022          22         1           munmap
  0.00    0.000014           7         2           fstat
  0.00    0.000014           7         2           lseek
  0.00    0.000010           5         2           pread64
  0.00    0.000010          10         1         1 access
  0.00    0.000007           7         1           getrandom
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000006           6         1           prlimit64
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000005           5         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.582426          31     18742         1 total
